title;description;prize;prize_description;unit_value;tickets_number;tickets_sold;draw_date;institution_id;condition_id;delivery_type_id;category_id
Campanha HC para compra de leitos;O HC está rifando o veiculo para ajudar na compra de 10 novos leitos para UTI;Peugeot 308 2014; Carro semi-novo com 90.000 mil km;25;100;0;2021-08-14;1;1;1;1
Campanha APAE para compra de novo alojamento;A APAE esta sortando a casa para que possa ampliar sua capacidade;Apartamento 120m2;Apartamento com 120m2 no bairro Cajuru;500;1000;0;2021-08-15;1;2;3;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Cadeira Gamer Giratória Com Regulagem Altura;"A Cadeira Gamer GA004 da Columbex, foi desenvolvida para que os usuários tenham uma experiência extremamente confortável, mesmo que precise utilizar por muitas horas seguidas, seja para jogar, trabalhar, assistir um filme ou série.
Estofado e encosto para as costas ergonomicamente confortáveis e de alta qualidade/densidade.";30;300;0;2021-08-20;2;2;2;9
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Fogão de piso Itatiaia Star gás engarrafado 4 queimadores preto 127V/220V porta com visor 51L;Este fogão da Itatiaia irá ajudá-lo a se destacar e surpreender a todos os seus convidados. O seu design e funcionalidade lhe garante o melhor rendimento para poder preparar os seus pratos de forma confortável e prática.;15;200;0;2021-08-17;3;3;3;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Fritadeira elétrica sem óleo Multilaser Gourmet Air Fryer 4 L 4L preta 127V;"Com esta fritadeira da Multilaser você vai desfrutar das comidas mais ricas. Com a sua capacidade de 4 litros e 1500 W de potência, você obterá grandes quantidades de alimentos ao mesmo tempo.
Além de fritar, tostar e assar, funciona com ar quente, por isso proporciona refeições mais saudáveis do que uma fritadeira convencional.

Fritar nunca foi tão fácil
O temporizador incluído permitirá que você defina o tempo que precise aquilo que deseja provar. Será ideal para desfrutar de batatas fritas ou bolinhos de queijo.
Quando a sua comida estiver pronta, ela desligará automaticamente, evitando acidentes e descuidos.";5;100;0;2021-08-16;4;4;4;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Geladeira frost free Brastemp BRM45H branca com freezer 375L 127V;"Conforto para a sua casa
O seu sistema frost free evita a formação de gelo no freezer. Por outro lado, este sistema inovador preserva a umidade dos seus alimentos por mais tempo, conservando o sabor dos produtos.

Frescura nos seus alimentos
Os 3 níveis de temperatura irão ajudar á conservação de acordo com as suas necessidades e preferências. Toda vez que você abre a porta, o ar quente entra, portanto, com controle da temperatura, você poderá controlar os graus para que os seus produtos fiquem sempre frescos.";10;400;0;2021-08-15;5;1;1;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Máquina de lavar automática Brastemp BWJ09A branca 9kg 127 V;"Com design e desempenho superiores, a Brastemp oferece excelência em seus produtos para lavagem e secagem de roupas, por isso brinda soluções inovadoras para torná-la impecável.

Trabalha sozinha
Basta inserir os produtos de limpeza e escolher o programa desejado. Ao contrário dos semi-automáticos, não exige que você esteja presente em todas as etapas do processo, pelo que terá peças de roupa limpas e perfumadas sem esforço.";10;200;0;2021-08-21;6;2;1;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Liquidificador Mondial;"Prático e seguro
A função turbo faz com que os ingredientes se misturem de maneira mais rápida e uniforme, para obter preparações com texturas inigualáveis. Sua função pulsar permite que você inicie o produto de forma intermitente de acordo com a sua necessidade ou com o conteúdo da jarra. Sua trava de segurança evita acidentes por descuido e preserva a limpeza da sua cozinha evitando derramamentos.

Tudo o que você mais gosta
É adequado para moer gelo em segundos e preparar smoothies refrescantes nos dias quentes. Além disso, você pode fazer seus próprios coquetéis em casa sem ter que ir a um bar. Agora o barman é você!";2;200;0;2021-08-29;7;3;1;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Maquina de costura Genius;"Faça os projetos que você tem em mente e dê vida às suas ideias com esta máquina Elgin. Perfeita para quem quer evoluir na arte do artesanato. Você será capaz de costurar o que quiser da mão de sua máquina.

A melhor escolha para a sua casa
Esta máquina é indicada para quem quer começar a aprender costura. Funcional e fácil de usar, você poderá consertar roupas, costurar rasgos simples e fazer seus próprios desenhos têxteis.";20;50;0;2021-08-15;8;4;2;8
Lorem ipsum dolor sit amet;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat;Smartphone Motorola Moto E7 Power Tl6.5 32gb 2gb Ram Verm Cr;"Alta resolução com sensor de 48 MP1 e mais detalhes com a Câmera macro.

Os melhores momentos podem acontecer a qualquer hora. Seja quando for, você pode contar com o moto e7. Câmera com sensor de 48 MP¹, seus vídeos e fotos ficam mais claros e nítidos em qualquer iluminação,* até à noite. Você não perde nem os mínimos detalhes com a câmera Macro. E tem muito mais para você se divertir. A tela Max Vision HD+ de 6,5” tem todo o espaço que seus filmes e jogos merecem, e as videochamadas ficam muito melhores. Com a bateria de 4000 mAh e o desempenho do processador octa-core, você nunca fica na mão. Desbloquear o telefone é fácil e rápido : basta usar sua impressão digital. Novo moto e7. Alta resolução com sensor de 40 MP¹e mais detalhes com a Câmera Macro.";10;200;0;2021-08-05;9;1;3;6
